nj=20;
nm=15;
Ops = {
< 1 1 4 92 0 16 >
< 1 2 2 49 0 4 >
< 1 3 3 93 0 2 >
< 1 4 7 48 0 3 >
< 1 5 1 1 0 7 >
< 1 6 5 52 0 1 >
< 1 7 6 57 0 5 >
< 1 8 9 16 0 6 >
< 1 9 13 6 0 9 >
< 1 10 14 6 0 13 >
< 1 11 12 19 0 14 >
< 1 12 10 96 0 12 >
< 1 13 8 27 0 10 >
< 1 14 15 76 0 8 >
< 1 15 11 60 1 15 >
< 2 1 6 4 0 16 >
< 2 2 4 96 0 6 >
< 2 3 7 52 0 4 >
< 2 4 2 87 0 7 >
< 2 5 3 94 0 2 >
< 2 6 5 83 0 3 >
< 2 7 1 9 0 5 >
< 2 8 12 85 0 1 >
< 2 9 11 47 0 12 >
< 2 10 9 63 0 11 >
< 2 11 10 31 0 9 >
< 2 12 14 26 0 10 >
< 2 13 13 46 0 14 >
< 2 14 8 49 0 13 >
< 2 15 15 48 1 8 >
< 3 1 2 34 0 16 >
< 3 2 7 34 0 2 >
< 3 3 5 37 0 7 >
< 3 4 3 82 0 5 >
< 3 5 1 25 0 3 >
< 3 6 6 43 0 1 >
< 3 7 4 11 0 6 >
< 3 8 10 71 0 4 >
< 3 9 15 55 0 10 >
< 3 10 8 34 0 15 >
< 3 11 12 77 0 8 >
< 3 12 13 20 0 12 >
< 3 13 9 89 0 13 >
< 3 14 11 23 0 9 >
< 3 15 14 32 1 11 >
< 4 1 4 49 0 16 >
< 4 2 6 12 0 4 >
< 4 3 7 52 0 6 >
< 4 4 3 76 0 7 >
< 4 5 1 64 0 3 >
< 4 6 2 51 0 1 >
< 4 7 5 84 0 2 >
< 4 8 11 42 0 5 >
< 4 9 13 5 0 11 >
< 4 10 8 45 0 13 >
< 4 11 9 20 0 8 >
< 4 12 12 93 0 9 >
< 4 13 15 48 0 12 >
< 4 14 14 75 0 15 >
< 4 15 10 100 1 14 >
< 5 1 3 35 0 16 >
< 5 2 2 1 0 3 >
< 5 3 4 15 0 2 >
< 5 4 7 49 0 4 >
< 5 5 6 78 0 7 >
< 5 6 5 80 0 6 >
< 5 7 1 99 0 5 >
< 5 8 10 88 0 1 >
< 5 9 8 24 0 10 >
< 5 10 12 20 0 8 >
< 5 11 11 100 0 12 >
< 5 12 9 28 0 11 >
< 5 13 15 71 0 9 >
< 5 14 14 1 0 15 >
< 5 15 13 7 1 14 >
< 6 1 4 69 0 16 >
< 6 2 7 24 0 4 >
< 6 3 6 21 0 7 >
< 6 4 5 3 0 6 >
< 6 5 2 28 0 5 >
< 6 6 3 8 0 2 >
< 6 7 1 42 0 3 >
< 6 8 11 33 0 1 >
< 6 9 12 40 0 11 >
< 6 10 10 50 0 12 >
< 6 11 9 8 0 10 >
< 6 12 14 5 0 9 >
< 6 13 13 13 0 14 >
< 6 14 8 42 0 13 >
< 6 15 15 73 1 8 >
< 7 1 1 83 0 16 >
< 7 2 5 15 0 1 >
< 7 3 3 62 0 5 >
< 7 4 7 27 0 3 >
< 7 5 6 5 0 7 >
< 7 6 2 65 0 6 >
< 7 7 4 100 0 2 >
< 7 8 15 65 0 4 >
< 7 9 11 82 0 15 >
< 7 10 8 89 0 11 >
< 7 11 14 81 0 8 >
< 7 12 10 92 0 14 >
< 7 13 9 38 0 10 >
< 7 14 12 47 0 9 >
< 7 15 13 96 1 12 >
< 8 1 7 98 0 16 >
