nj=20;
nm=10;
Ops = {
< 1 1 3 16 0 11 >
< 1 2 2 58 0 3 >
< 1 3 1 22 0 2 >
< 1 4 5 24 0 1 >
< 1 5 4 53 0 5 >
< 1 6 9 9 0 4 >
< 1 7 10 57 0 9 >
< 1 8 8 63 0 10 >
< 1 9 6 92 0 8 >
< 1 10 7 43 1 6 >
< 2 1 4 6 0 11 >
< 2 2 2 48 0 4 >
< 2 3 5 14 0 2 >
< 2 4 1 66 0 5 >
< 2 5 3 24 0 1 >
< 2 6 8 2 0 3 >
< 2 7 10 85 0 8 >
< 2 8 7 73 0 10 >
< 2 9 9 19 0 7 >
< 2 10 6 99 1 9 >
< 3 1 5 100 0 11 >
< 3 2 3 90 0 5 >
< 3 3 1 63 0 3 >
< 3 4 2 14 0 1 >
< 3 5 4 31 0 2 >
< 3 6 6 27 0 4 >
< 3 7 10 15 0 6 >
< 3 8 9 1 0 10 >
< 3 9 7 51 0 9 >
< 3 10 8 33 1 7 >
< 4 1 3 98 0 11 >
< 4 2 4 84 0 3 >
< 4 3 5 52 0 4 >
< 4 4 1 12 0 5 >
< 4 5 2 96 0 1 >
< 4 6 10 60 0 2 >
< 4 7 7 74 0 10 >
< 4 8 9 93 0 7 >
< 4 9 6 45 0 9 >
< 4 10 8 49 1 6 >
< 5 1 5 39 0 11 >
< 5 2 1 54 0 5 >
< 5 3 3 28 0 1 >
< 5 4 4 8 0 3 >
< 5 5 2 30 0 4 >
< 5 6 9 57 0 2 >
< 5 7 7 75 0 9 >
< 5 8 6 9 0 7 >
< 5 9 8 41 0 6 >
< 5 10 10 19 1 8 >
< 6 1 4 94 0 11 >
< 6 2 1 8 0 4 >
< 6 3 3 89 0 1 >
< 6 4 2 13 0 3 >
< 6 5 5 37 0 2 >
< 6 6 9 36 0 5 >
< 6 7 7 63 0 9 >
< 6 8 10 24 0 7 >
< 6 9 6 71 0 10 >
< 6 10 8 97 1 6 >
< 7 1 4 90 0 11 >
< 7 2 3 69 0 4 >
< 7 3 2 25 0 3 >
< 7 4 5 15 0 2 >
< 7 5 1 65 0 5 >
< 7 6 8 52 0 1 >
< 7 7 7 56 0 8 >
< 7 8 10 91 0 7 >
< 7 9 9 83 0 10 >
< 7 10 6 86 1 9 >
< 8 1 4 59 0 11 >
< 8 2 2 99 0 4 >
< 8 3 5 41 0 2 >
< 8 4 1 68 0 5 >
< 8 5 3 14 0 1 >
< 8 6 8 4 0 3 >
< 8 7 10 55 0 8 >
< 8 8 7 48 0 10 >
< 8 9 9 13 0 7 >
< 8 10 6 15 1 9 >
< 9 1 5 36 0 11 >
< 9 2 3 17 0 5 >
< 9 3 2 51 0 3 >
< 9 4 1 16 0 2 >
< 9 5 4 54 0 1 >
< 9 6 9 45 0 4 >
< 9 7 6 50 0 9 >
< 9 8 8 98 0 6 >
< 9 9 7 68 0 8 >
< 9 10 10 82 1 7 >
< 10 1 2 75 0 11 >
< 10 2 1 11 0 2 >
< 10 3 5 55 0 1 >
< 10 4 3 93 0 5 >
< 10 5 4 51 0 3 >
< 10 6 7 61 0 4 >
< 10 7 10 40 0 7 >
< 10 8 8 19 0 10 >
< 10 9 9 24 0 8 >
< 10 10 6 55 1 9 >
< 11 1 5 56 0 11 >
< 11 2 1 73 0 5 >
< 11 3 4 59 0 1 >
< 11 4 3 38 0 4 >
< 11 5 2 51 0 3 >
< 11 6 7 99 0 2 >
< 11 7 9 29 0 7 >
< 11 8 10 53 0 9 >
< 11 9 6 7 0 10 >
< 11 10 8 72 1 6 >
< 12 1 4 68 0 11 >
< 12 2 5 50 0 4 >
< 12 3 2 88 0 5 >
< 12 4 3 88 0 2 >
< 12 5 1 33 0 3 >
< 12 6 6 47 0 1 >
< 12 7 9 52 0 6 >
< 12 8 7 26 0 9 >
< 12 9 10 74 0 7 >
< 12 10 8 68 1 10 >
< 13 1 3 3 0 11 >
< 13 2 4 42 0 3 >
< 13 3 1 45 0 4 >
< 13 4 2 57 0 1 >
< 13 5 5 28 0 2 >
< 13 6 6 14 0 5 >
< 13 7 9 22 0 6 >
< 13 8 10 31 0 9 >
< 13 9 7 44 0 10 >
< 13 10 8 38 1 7 >
< 14 1 4 89 0 11 >
< 14 2 1 73 0 4 >
< 14 3 5 12 0 1 >
< 14 4 2 9 0 5 >
< 14 5 3 49 0 2 >
< 14 6 6 11 0 3 >
< 14 7 9 15 0 6 >
< 14 8 8 41 0 9 >
< 14 9 10 37 0 8 >
< 14 10 7 10 1 10 >
< 15 1 4 76 0 11 >
< 15 2 3 97 0 4 >
< 15 3 5 100 0 3 >
< 15 4 2 92 0 5 >
< 15 5 1 25 0 2 >
< 15 6 6 8 0 1 >
< 15 7 10 92 0 6 >
< 15 8 8 51 0 10 >
< 15 9 7 58 0 8 >
< 15 10 9 65 1 7 >
< 16 1 5 50 0 11 >
< 16 2 1 54 0 5 >
< 16 3 4 85 0 1 >
< 16 4 2 47 0 4 >
< 16 5 3 45 0 2 >
< 16 6 7 99 0 3 >
< 16 7 10 39 0 7 >
< 16 8 6 32 0 10 >
< 16 9 9 87 0 6 >
< 16 10 8 56 1 9 >
< 17 1 1 70 0 11 >
< 17 2 3 58 0 1 >
< 17 3 4 33 0 3 >
< 17 4 2 85 0 4 >
< 17 5 5 25 0 2 >
< 17 6 9 5 0 5 >
< 17 7 8 65 0 9 >
< 17 8 10 20 0 8 >
< 17 9 7 52 0 10 >
< 17 10 6 44 1 7 >
< 18 1 2 22 0 11 >
< 18 2 4 45 0 2 >
< 18 3 5 60 0 4 >
< 18 4 1 66 0 5 >
< 18 5 3 5 0 1 >
< 18 6 8 61 0 3 >
< 18 7 7 73 0 8 >
< 18 8 10 60 0 7 >
< 18 9 6 14 0 10 >
< 18 10 9 44 1 6 >
< 19 1 5 64 0 11 >
< 19 2 1 97 0 5 >
< 19 3 3 31 0 1 >
< 19 4 2 4 0 3 >
< 19 5 4 43 0 2 >
< 19 6 10 47 0 4 >
< 19 7 8 93 0 10 >
< 19 8 7 100 0 8 >
< 19 9 6 10 0 7 >
< 19 10 9 51 1 6 >
< 20 1 4 9 0 11 >
< 20 2 5 87 0 4 >
< 20 3 3 34 0 5 >
< 20 4 1 62 0 3 >
< 20 5 2 56 0 1 >
< 20 6 6 66 0 2 >
< 20 7 9 95 0 6 >
< 20 8 8 56 0 9 >
< 20 9 10 42 0 8 >
< 20 10 7 86 1 10 >
};
